metric,n,mean,p50,p95,p99,max,target,over_target,verdict
ctx_switch,2000,444ns,460ns,460ns,460ns,872ns,5700ns,0,PASS
irq_to_task,695600,546ns,520ns,680ns,1104ns,9501ns,50.0us,0,PASS
gate_cmd_verdict,43119,5479ns,4416ns,8576ns,8832ns,13.4us,1000.0us,0,PASS
hazard_to_brake,66,27.8us,30us,33us,33.3us,34us,100.0us,0,PASS
frame_to_decision,12160,29.8ms,29.6ms,30.6ms,30.6ms,31.4ms,100.0ms,0,PASS
npu_inference,12160,28.5ms,28.5ms,28.5ms,28.5ms,28.7ms,50.0ms,0,PASS
monitor_jitter,80932,235ns,101ns,840ns,1968ns,11.9us,100.0us,0,PASS
monitor_step,80933,322.8us,323.5us,323.5us,323.5us,422.1us,1000.0us,0,PASS
link_loss_to_safe,7,208ms,210ms,210ms,210ms,210ms,250.0ms,0,PASS
