metric,n,mean,p50,p95,p99,max,target,over_target,verdict
ctx_switch,2000,415ns,412ns,412ns,412ns,875ns,5700ns,0,PASS
irq_to_task,70832,497ns,468ns,600ns,1104ns,5811ns,50.0us,0,PASS
gate_cmd_verdict,4375,5698ns,4544ns,9088ns,9344ns,14.4us,1000.0us,0,PASS
frame_to_decision,1637,29.8ms,29.6ms,30.6ms,31.1ms,31.3ms,100.0ms,0,PASS
npu_inference,1637,28.5ms,28.5ms,28.5ms,28.5ms,28.8ms,50.0ms,0,PASS
monitor_jitter,10782,355ns,166ns,1168ns,2400ns,22.8us,100.0us,0,PASS
monitor_step,10783,322.9us,323.5us,323.5us,323.5us,427.5us,1000.0us,0,PASS
link_loss_to_safe,1,210.0ms,210.0ms,210.0ms,210.0ms,210.0ms,250.0ms,0,PASS
